sku,uom_level,article_no,nbs_item,category,brand,variant,description,pack_size,pack_ml,material,uom,base_qty,units_per_case,cases_per_layer,layers_per_pallet,gross_wt,net_wt,std_cost,list_price,barcode_type,barcode,is_sellable,is_orderable
SKU000001,EA,10000191,0000000,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 330ml Can,330ml,330,CAN,EA,1,24,8,5,0.35,0.33,3.76,5.83,EAN-13,6001000000018,1,0
SKU000002,CS,10000145,1585264,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 330ml Can Case 24,24 x 330ml,330,CAN,CS,24,24,8,5,8.8,7.92,90.24,139.87,GTIN-14,16001000000015,0,1
SKU000003,EA,10000296,3287433,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 330ml PET Bottle,330ml,330,PET,EA,1,24,8,5,0.36,0.33,2.92,4.53,EAN-13,6001000000025,1,0
SKU000004,CS,10000221,1133306,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 330ml PET Bottle Case 24,24 x 330ml,330,PET,CS,24,24,8,5,9.04,7.92,70.08,108.62,GTIN-14,16001000000022,0,1
SKU000005,DSP,10000237,1975850,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 330ml PET Bottle Display 6,6 x 330ml,330,PET,DSP,6,6,8,5,2.26,1.98,17.52,28.24,GTIN-14,26001000000029,1,1
SKU000006,EA,10000374,3354032,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 330ml Returnable Glass,330ml,330,RGB,EA,1,24,8,5,0.63,0.33,2.08,3.22,EAN-13,6001000000032,1,0
SKU000007,CS,10000335,3941570,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 330ml Returnable Glass Case 24,24 x 330ml,330,RGB,CS,24,24,8,5,15.52,7.92,49.92,77.38,GTIN-14,16001000000039,0,1
SKU000008,EA,10000438,2166816,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 440ml Can,440ml,440,CAN,EA,1,24,8,5,0.46,0.44,4.05,6.28,EAN-13,6001000000049,1,0
SKU000009,CS,10000410,1669659,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 440ml Can Case 24,24 x 440ml,440,CAN,CS,24,24,8,5,11.44,10.56,97.2,150.66,GTIN-14,16001000000046,0,1
SKU000010,EA,10000553,1903091,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 440ml PET Bottle,440ml,440,PET,EA,1,24,8,5,0.47,0.44,3.19,4.94,EAN-13,6001000000056,1,0
SKU000011,CS,10000553,0000000,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 440ml PET Bottle Case 24,24 x 440ml,440,PET,CS,24,24,8,5,11.68,10.56,76.56,118.67,GTIN-14,16001000000053,0,1
SKU000012,DSP,10000555,2442654,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 440ml PET Bottle Display 6,6 x 440ml,440,PET,DSP,6,6,8,5,2.92,2.64,19.14,30.85,GTIN-14,26001000000050,1,1
SKU000013,EA,10000687,1182244,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 440ml Returnable Glass,440ml,440,RGB,EA,1,24,8,5,0.74,0.44,2.34,3.63,EAN-13,6001000000063,1,0
SKU000014,CS,10000668,2587688,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 440ml Returnable Glass Case 24,24 x 440ml,440,RGB,CS,24,24,8,5,18.16,10.56,56.16,87.05,GTIN-14,16001000000060,0,1
SKU000015,DSP,10000647,3636706,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 440ml Returnable Glass Display 6,6 x 440ml,440,RGB,DSP,6,6,8,5,4.54,2.64,14.04,22.63,GTIN-14,26001000000067,1,1
SKU000016,EA,10000789,2516807,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 500ml Can,500ml,500,CAN,EA,1,24,6,4,0.52,0.5,4.2,6.51,EAN-13,6001000000070,1,0
SKU000017,CS,10000783,0000000,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 500ml Can Case 24,24 x 500ml,500,CAN,CS,24,24,6,4,12.88,12.0,100.8,156.24,GTIN-14,16001000000077,0,1
SKU000018,DSP,10000794,1955874,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 500ml Can Display 6,6 x 500ml,500,CAN,DSP,6,6,6,4,3.22,3.0,25.2,40.62,GTIN-14,26001000000074,1,1
SKU000019,EA,10000847,1976395,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,3.34,5.18,EAN-13,6001000000087,1,0
SKU000020,CS,10000822,2901740,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,80.16,124.25,GTIN-14,16001000000084,0,1
SKU000021,EA,10000956,2490113,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 500ml Returnable Glass,500ml,500,RGB,EA,1,24,6,4,0.8,0.5,2.48,3.84,EAN-13,6001000000094,1,0
SKU000022,CS,10000936,3943647,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 500ml Returnable Glass Case 24,24 x 500ml,500,RGB,CS,24,24,6,4,19.6,12.0,59.52,92.26,GTIN-14,16001000000091,0,1
SKU000023,EA,10001092,0000000,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1L Can,1L,1000,CAN,EA,1,12,5,4,1.02,1.0,5.51,8.54,EAN-13,6001000000100,1,0
SKU000024,CS,10001091,0000000,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1L Can Case 12,12 x 1L,1000,CAN,CS,12,12,5,4,12.64,12.0,66.12,102.49,GTIN-14,16001000000107,0,1
SKU000025,EA,10001130,2132243,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,4.59,7.11,EAN-13,6001000000117,1,0
SKU000026,CS,10001191,1921132,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,55.08,85.37,GTIN-14,16001000000114,0,1
SKU000027,EA,10001217,1134638,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1L Returnable Glass,1L,1000,RGB,EA,1,12,5,4,1.3,1.0,3.67,5.69,EAN-13,6001000000124,1,0
SKU000028,CS,10001250,1277615,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1L Returnable Glass Case 12,12 x 1L,1000,RGB,CS,12,12,5,4,16.0,12.0,44.04,68.26,GTIN-14,16001000000121,0,1
SKU000029,DSP,10001282,2319854,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1L Returnable Glass Display 6,6 x 1L,1000,RGB,DSP,6,6,5,4,7.9,6.0,22.02,35.5,GTIN-14,26001000000128,1,1
