period,brand,category,channel,province,units_sold,list_price,std_cost,revenue_zar,gross_margin_zar,trade_spend_zar,net_revenue_zar,weighted_distribution,promo_flag,sku_grade
2024Q2,Schweppes,Mixers,Mass Retail,Gauteng,49,56.7,33.03,2778.3,1159.83,244.19,2534.11,53.3,1,A
2024Q4,Coca-Cola,Carbonated Soft Drinks,E-Commerce,KwaZulu-Natal,117,55.22,26.66,6460.74,3341.52,759.74,5701.0,89.1,1,A
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,22,50.08,26.17,1101.76,526.02,90.32,1011.44,67.9,0,C
2024Q3,Stoney,Carbonated Soft Drinks,Convenience,Western Cape,14,61.16,31.86,856.24,410.2,59.35,796.89,69.2,0,C
2024Q3,Coca-Cola,Carbonated Soft Drinks,E-Commerce,KwaZulu-Natal,34,46.09,25.95,1567.06,684.76,68.51,1498.55,77.2,1,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Gauteng,20,50.81,29.26,1016.2,431.0,76.43,939.77,51.5,0,A
2024Q4,Monster,Energy Drinks,On-Trade,Free State,63,100.28,52.51,6317.64,3009.51,515.55,5802.09,74.0,1,B
2024Q3,Powerade,Sports Drinks,Convenience,KwaZulu-Natal,59,68.35,33.65,4032.65,2047.3,224.53,3808.12,47.4,0,B
2024Q3,Stoney,Carbonated Soft Drinks,Mass Retail,Gauteng,10,56.23,33.51,562.3,227.2,38.54,523.76,59.9,0,D
2024Q4,Monster,Energy Drinks,Wholesale,Western Cape,42,107.71,52.82,4523.82,2305.38,538.11,3985.71,85.9,1,B
2024Q3,Sprite,Carbonated Soft Drinks,Convenience,Gauteng,75,59.49,34.98,4461.75,1838.25,204.9,4256.85,64.0,1,C
2024Q2,Stoney,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,43,64.32,33.85,2765.76,1310.21,124.69,2641.07,61.5,0,A
2024Q2,Sprite,Carbonated Soft Drinks,Petrol & Travel,KwaZulu-Natal,63,61.38,37.09,3866.94,1530.27,300.76,3566.18,51.3,0,C
2024Q1,Monster,Energy Drinks,E-Commerce,Gauteng,44,124.81,73.38,5491.64,2262.92,436.61,5055.03,72.7,0,C
2024Q3,Sprite,Carbonated Soft Drinks,Mass Retail,Mpumalanga,35,54.05,28.32,1891.75,900.55,152.64,1739.11,93.1,1,A
2024Q2,Fanta,Carbonated Soft Drinks,Wholesale,KwaZulu-Natal,108,47.97,24.56,5180.76,2528.28,239.14,4941.62,60.4,1,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,On-Trade,Gauteng,68,53.39,31.63,3630.52,1479.68,199.41,3431.11,92.3,0,C
2024Q4,Sprite,Carbonated Soft Drinks,Mass Retail,Northern Cape,18,53.92,27.6,970.56,473.76,71.99,898.57,88.4,0,A
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,33,51.05,27.49,1684.65,777.48,97.32,1587.33,51.4,0,B
2024Q3,Sprite,Carbonated Soft Drinks,On-Trade,Western Cape,29,57.16,31.59,1657.64,741.53,159.53,1498.11,64.3,0,D
2024Q3,Monster,Energy Drinks,Mass Retail,Eastern Cape,7,110.9,57.65,776.3,372.75,33.34,742.96,77.3,0,C
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Gauteng,28,53.28,26.66,1491.84,745.36,118.09,1373.75,97.2,1,D
2024Q2,Powerplay,Energy Drinks,Mass Retail,Western Cape,82,114.99,59.02,9429.18,4589.54,926.49,8502.69,64.5,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,On-Trade,Free State,52,61.14,30.12,3179.28,1613.04,339.62,2839.66,62.0,1,A
2024Q1,Cappy,Juices & Nectars,Convenience,Eastern Cape,35,64.17,36.89,2245.95,954.8,92.82,2153.13,72.1,1,B
2024Q3,Sprite,Carbonated Soft Drinks,Mass Retail,Western Cape,14,57.47,33.14,804.58,340.62,57.08,747.5,94.6,1,A
2024Q4,Coca-Cola,Carbonated Soft Drinks,On-Trade,Gauteng,17,50.68,30.89,861.56,336.43,94.93,766.63,58.7,0,C
2024Q4,Powerade,Sports Drinks,Convenience,Gauteng,39,74.48,41.27,2904.72,1295.19,172.39,2732.33,49.9,0,D
2024Q2,Coca-Cola,Carbonated Soft Drinks,Convenience,KwaZulu-Natal,40,55.28,29.16,2211.2,1044.8,150.22,2060.98,83.5,0,D
2024Q4,Cappy,Juices & Nectars,On-Trade,KwaZulu-Natal,40,68.71,39.16,2748.4,1182.0,128.44,2619.96,53.6,0,D
2024Q1,Schweppes,Mixers,Convenience,Western Cape,41,54.06,25.99,2216.46,1150.87,117.17,2099.29,74.1,0,A
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,12,54.76,31.74,657.12,276.24,38.76,618.36,62.2,0,A
2024Q1,Stoney,Carbonated Soft Drinks,Mass Retail,Gauteng,71,61.63,35.26,4375.73,1872.27,373.97,4001.76,50.0,0,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,16,48.63,29.97,778.08,298.56,55.59,722.49,92.3,0,B
2024Q2,Stoney,Carbonated Soft Drinks,Wholesale,KwaZulu-Natal,33,66.6,37.35,2197.8,965.25,174.51,2023.29,55.3,0,C
2024Q4,Cappy,Juices & Nectars,Mass Retail,Gauteng,14,69.44,42.47,972.16,377.58,113.08,859.08,93.5,0,B
2024Q1,Sprite,Carbonated Soft Drinks,Wholesale,Gauteng,48,55.05,33.85,2642.4,1017.6,286.02,2356.38,60.6,0,A
2024Q2,Stoney,Carbonated Soft Drinks,E-Commerce,Gauteng,23,63.75,32.11,1466.25,727.72,123.96,1342.29,94.6,0,A
2024Q2,Sprite,Carbonated Soft Drinks,Convenience,Gauteng,16,56.05,31.73,896.8,389.12,106.9,789.9,52.4,0,C
2024Q1,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Limpopo,44,54.36,31.4,2391.84,1010.24,230.09,2161.75,64.1,0,A
2024Q2,Powerade,Sports Drinks,E-Commerce,North West,50,70.2,42.22,3510.0,1399.0,396.84,3113.16,72.1,0,A
2024Q1,Sprite,Carbonated Soft Drinks,Mass Retail,Western Cape,52,60.4,34.93,3140.8,1324.44,325.59,2815.21,92.2,0,A
2024Q4,Coca-Cola,Carbonated Soft Drinks,Convenience,Mpumalanga,17,51.04,28.63,867.68,380.97,37.2,830.48,69.7,0,B
2024Q4,Stoney,Carbonated Soft Drinks,E-Commerce,Eastern Cape,57,51.97,25.17,2962.29,1527.6,127.34,2834.95,88.6,0,A
